Source,SourcePath,SourcePort,Destination,DestinationPath,DestinationPort,Origin
Sequence,-1,Product,untitled/Product,1,pc
Clock,untitled/Repeating
Sequence/Clock,-1,Sum,untitled/Repeating
Sequence/Sum,0,pc
Constant,untitled/Repeating
Sequence/Constant,-1,Math
Function,untitled/Repeating
Sequence/Math
Function,1,pc
Math
Function,untitled/Repeating
Sequence/Math
Function,0,Look-Up Table1,untitled/Repeating
Sequence/Look-Up Table1,-1,pc
Look-Up Table1,untitled/Repeating
Sequence/Look-Up Table1,-1,Output,untitled/Repeating
Sequence/Output,0,pc
Sum,untitled/Repeating
Sequence/Sum,0,Math
Function,untitled/Repeating
Sequence/Math
Function,-1,pc
Constant,untitled/Repeating
Sequence/Constant,0,Math
Function,untitled/Repeating
Sequence/Math
Function,-1,pc
Math
Function,untitled/Repeating
Sequence/Math
Function,-1,Look-Up Table1,untitled/Repeating
Sequence/Look-Up Table1,0,pc
Look-Up Table1,untitled/Repeating
Sequence/Look-Up Table1,0,Output,untitled/Repeating
Sequence/Output,-1,pc
Output,untitled/Repeating
Sequence/Output,-1,Out1,untitled/Repeating
Sequence/Out1,0,pc
Clock,untitled/Repeating
Sequence/Clock,0,Sum,untitled/Repeating
Sequence/Sum,-1,pc
startTime,untitled/Repeating
Sequence/startTime,0,Sum,untitled/Repeating
Sequence/Sum,-1,pc
Sum,untitled/Repeating
Sequence/Sum,-1,Math
Function,untitled/Repeating
Sequence/Math
Function,0,pc
startTime,untitled/Repeating
Sequence/startTime,-1,Sum,untitled/Repeating
Sequence/Sum,1,pc
Output,untitled/Repeating
Sequence/Output,0,Out1,untitled/Repeating
Sequence/Out1,-1,pc
Voltage Measurement,untitled/Voltage Measurement,0,Scope,untitled/Scope,-1,pc
Square Wave
Generator,untitled/Square Wave
Generator,0,Scope1,untitled/Scope1,-1,pc
Series RLC Branch,untitled/Series RLC Branch,-1,IGBT/Diode2,untitled/IGBT//Diode2,11318.0002441406,pc
Series RLC Branch,untitled/Series RLC Branch,-1,Voltage Measurement,untitled/Voltage Measurement,11353.0002441406,pc
Series RLC Branch,untitled/Series RLC Branch,-1,IGBT/Diode1,untitled/IGBT//Diode1,11313.0002441406,pc
Series RLC Branch,untitled/Series RLC Branch,-1,Series RLC Branch1,untitled/Series RLC Branch1,11343.0002441406,pc
Series RLC Branch,untitled/Series RLC Branch,-1,Voltage Measurement,untitled/Voltage Measurement,11354.0002441406,pc
Series RLC Branch1,untitled/Series RLC Branch1,-1,Series RLC Branch,untitled/Series RLC Branch,11341.0002441406,pc
Series RLC Branch1,untitled/Series RLC Branch1,-1,Voltage Measurement,untitled/Voltage Measurement,11354.0002441406,pc
Series RLC Branch1,untitled/Series RLC Branch1,-1,IGBT/Diode,untitled/IGBT//Diode,11310.0002441406,pc
Series RLC Branch1,untitled/Series RLC Branch1,-1,IGBT/Diode3,untitled/IGBT//Diode3,11321.0002441406,pc
Sine Wave,untitled/Sine Wave,-1,GreaterThan,untitled/GreaterThan,0,pc
Sine Wave1,untitled/Sine Wave1,-1,GreaterThan1,untitled/GreaterThan1,0,pc
Square Wave
Generator,untitled/Square Wave
Generator,-1,Product,untitled/Product,0,pc
Square Wave
Generator,untitled/Square Wave
Generator,-1,Scope1,untitled/Scope1,0,pc
Voltage Measurement,untitled/Voltage Measurement,-1,Scope,untitled/Scope,0,pc
Voltage Measurement,untitled/Voltage Measurement,-1,IGBT/Diode2,untitled/IGBT//Diode2,11318.0002441406,pc
Voltage Measurement,untitled/Voltage Measurement,-1,Series RLC Branch,untitled/Series RLC Branch,11340.0002441406,pc
Voltage Measurement,untitled/Voltage Measurement,-1,IGBT/Diode1,untitled/IGBT//Diode1,11313.0002441406,pc
Voltage Measurement,untitled/Voltage Measurement,-1,Series RLC Branch,untitled/Series RLC Branch,11341.0002441406,pc
Voltage Measurement,untitled/Voltage Measurement,-1,Series RLC Branch1,untitled/Series RLC Branch1,11343.0002441406,pc
source,untitled/Voltage Measurement/source,0,Model,untitled/Voltage Measurement/Model,-1,pc
Model,untitled/Voltage Measurement/Model,-1,do not delete
this gain,untitled/Voltage Measurement/do not delete
this gain,0,pc
in,untitled/Voltage Measurement/Model/in,-1,out,untitled/Voltage Measurement/Model/out,0,pc
in,untitled/Voltage Measurement/Model/in,0,out,untitled/Voltage Measurement/Model/out,-1,pc
VoltageMeasurement,untitled/Voltage Measurement/VoltageMeasurement,-1,+,untitled/Voltage Measurement/+,11816.0012207031,pc
VoltageMeasurement,untitled/Voltage Measurement/VoltageMeasurement,-1,-,untitled/Voltage Measurement/-,11819.0012207031,pc
Model,untitled/Voltage Measurement/Model,0,do not delete
this gain,untitled/Voltage Measurement/do not delete
this gain,-1,pc
do not delete
this gain,untitled/Voltage Measurement/do not delete
this gain,-1,v,untitled/Voltage Measurement/v,0,pc
source,untitled/Voltage Measurement/source,-1,Model,untitled/Voltage Measurement/Model,0,pc
+,untitled/Voltage Measurement/+,-1,VoltageMeasurement,untitled/Voltage Measurement/VoltageMeasurement,11754.0007324219,pc
-,untitled/Voltage Measurement/-,-1,VoltageMeasurement,untitled/Voltage Measurement/VoltageMeasurement,11755.0007324219,pc
do not delete
this gain,untitled/Voltage Measurement/do not delete
this gain,0,v,untitled/Voltage Measurement/v,-1,pc
Ground,untitled/powergui/Ground,-1,Terminator,untitled/powergui/Terminator,0,pc
Ground,untitled/powergui/Ground,0,Terminator,untitled/powergui/Terminator,-1,pc
