Path,Name,BlockType,Orientation,Position_1,Position_2,Position_3,Position_4,Center_1,Center_2,LibraryLink,Mirror,Rotation,GotoTag,GotoVisibility,FromTag
"testgen/power_supply/Subsystem2/Gain","Gain","Gain","right",255,220,285,250,270,235,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain1","Gain1","Gain","right",400,530,430,560,415,545,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain2","Gain2","Gain","right",400,590,430,620,415,605,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain3","Gain3","Gain","right",400,620,430,650,415,635,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain4","Gain4","Gain","right",400,650,430,680,415,665,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain5","Gain5","Gain","right",400,680,430,710,415,695,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain6","Gain6","Gain","right",400,740,430,770,415,755,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain7","Gain7","Gain","right",400,710,430,740,415,725,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Gain8","Gain8","Gain","right",400,560,430,590,415,575,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Multiport
Switch","Multiport
Switch","MultiPortSwitch","right",695,200,735,295,715,247.5,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Multiport
Switch1","Multiport
Switch1","MultiPortSwitch","right",865,437,890,803,877.5,620,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Mux","Mux","Mux","right",460,521,465,779,462.5,650,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator","Relational
Operator","RelationalOperator","right",555,227,585,258,570,242.5,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator1","Relational
Operator1","RelationalOperator","right",555,192,585,223,570,207.5,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator12","Relational
Operator12","RelationalOperator","right",270,744,290,766,280,755,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator13","Relational
Operator13","RelationalOperator","right",270,684,290,706,280,695,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator2","Relational
Operator2","RelationalOperator","right",270,534,290,556,280,545,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator3","Relational
Operator3","RelationalOperator","right",270,714,290,736,280,725,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator4","Relational
Operator4","RelationalOperator","right",270,594,290,616,280,605,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator5","Relational
Operator5","RelationalOperator","right",270,564,290,586,280,575,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator6","Relational
Operator6","RelationalOperator","right",270,624,290,646,280,635,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Relational
Operator8","Relational
Operator8","RelationalOperator","right",270,654,290,676,280,665,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Saturation","Saturation","Saturate","right",535,635,565,665,550,650,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Scope4","Scope4","Scope","right",885,319,915,351,900,335,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Selector1","Selector1","Selector","right",160,216,200,254,180,235,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Selector2","Selector2","Selector","right",170,306,210,344,190,325,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Subsystem1","Subsystem1","SubSystem","right",505,522,540,558,522.5,540,"","off",0,"","",""
"testgen/power_supply/Subsystem2/Sum of
Elements","Sum of
Elements","Sum","right",485,635,515,665,500,650,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v0 = 000","v0 = 000","Constant","right",725,488,835,512,780,500,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v1=011","v1=011","Constant","right",725,528,835,552,780,540,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v2=001","v2=001","Constant","right",725,568,835,592,780,580,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v3=101","v3=101","Constant","right",725,609,835,631,780,620,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v4=100","v4=100","Constant","right",725,649,835,671,780,660,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v5=110","v5=110","Constant","right",725,688,835,712,780,700,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v6=010","v6=010","Constant","right",725,728,835,752,780,740,"","off",0,"","",""
"testgen/power_supply/Subsystem2/v7=111","v7=111","Constant","right",725,768,835,792,780,780,"","off",0,"","",""
"testgen/power_supply/Subsystem2/P","P","Outport","right",925,613,955,627,940,620,"","off",0,"","",""
"testgen/power_supply/Switch","Switch","Switch","right",1635,730,1685,770,1660,750,"","off",0,"","",""
"testgen/power_supply/Switch1","Switch1","Switch","right",470,190,520,230,495,210,"","off",0,"","",""
"testgen/power_supply/Te Given(N*m)","Te Given(N*m)","SubSystem","right",655,1300,685,1330,670,1315,"powerlib_extras/Control 
Blocks/Timer","off",0,"","",""
"testgen/power_supply/Terminator3","Terminator3","Terminator","right",1100,1170,1120,1190,1110,1180,"","off",0,"","",""
"testgen/power_supply/Wm Given(ras//s)1","Wm Given(ras/s)1","SubSystem","right",1445,735,1475,765,1460,750,"powerlib_extras/Control 
Blocks/Timer","off",0,"","",""
"testgen/power_supply/Wm Given(ras//s)2","Wm Given(ras/s)2","SubSystem","right",1445,590,1475,620,1460,605,"powerlib_extras/Control 
Blocks/Timer","off",0,"","",""
"testgen/power_supply/powergui","powergui","SubSystem","right",180,20,278,60,229,40,"spspowerguiLib/powergui","off",0,"","",""
"testgen/power_supply/Conn1","Conn1","PMIOPort","left",690,148,720,162,705,155,"","on",-0,"","",""
"testgen/power_supply/Conn2","Conn2","PMIOPort","right",630,253,660,267,645,260,"","off",0,"","",""
"testgen/validation","validation","SubSystem","right",1255,210,1295,270,1275,240,"urban_rail/validation","off",0,"","",""
"testgen/validation/In1","In1","Inport","right",20,123,50,137,35,130,"","off",0,"","",""
"testgen/validation/Bus
Selector1","Bus
Selector1","BusSelector","right",170,106,175,144,172.5,125,"","off",0,"","",""
"testgen/validation/Bus
Selector2","Bus
Selector2","BusSelector","right",120,70,125,120,122.5,95,"","off",0,"","",""
"testgen/validation/Bus
Selector3","Bus
Selector3","BusSelector","right",170,156,175,194,172.5,175,"","off",0,"","",""
"testgen/validation/Goto","Goto","Goto","right",120,22,205,48,162.5,35,"","off",0,"Motor_measure","global",""
"testgen/validation/Goto15","Goto15","Goto","right",200,168,275,182,237.5,175,"","off",0,"motor_Te","global",""
"testgen/validation/Goto6","Goto6","Goto","right",200,86,275,104,237.5,95,"","off",0,"motor_Iabc","global",""
"testgen/validation/Goto7","Goto7","Goto","right",200,116,275,134,237.5,125,"","off",0,"motor_wm","global",""
"testgen/voltage_sensor1","voltage_sensor1","SubSystem","right",680,209,720,271,700,240,"urban_rail/voltage_sensor","off",0,"","",""
"testgen/voltage_sensor1/Goto1","Goto1","Goto","right",500,151,555,169,527.5,160,"","off",0,"XUD1","global",""
"testgen/voltage_sensor1/Scope13","Scope13","Scope","right",310,84,340,116,325,100,"","off",0,"","",""
"testgen/voltage_sensor1/Voltage Measurement8","Voltage Measurement8","SubSystem","right",215,82,240,113,227.5,97.5,"spsVoltageMeasurementLib/Voltage Measurement","off",0,"","",""
"testgen/voltage_sensor1/Conn1","Conn1","PMIOPort","right",20,23,50,37,35,30,"","off",0,"","",""
"testgen/voltage_sensor1/Conn2","Conn2","PMIOPort","right",20,118,50,132,35,125,"","off",0,"","",""
