Source,SourcePath,SourcePort,SourcePortKind,SourcePortIndex,Destination,DestinationPath,DestinationPort,DestinationPortKind,DestinationPortIndex,Origin
"wbase","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/wbase",0,outport,1,"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",-1,inport,1,pc
"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",-1,outport,1,"Product1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Product1",-1,inport,2,pc
"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",-1,outport,1,"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/phi",-1,inport,1,pc
"A","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/A",0,outport,1,"Product1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Product1",-1,inport,1,pc
"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",0,inport,1,"Product1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Product1",-1,inport,2,pc
"Product1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Product1",-1,outport,1,"sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/sum1",-1,inport,2,pc
"v","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/v",0,outport,1,"sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/sum1",-1,inport,1,pc
"Product1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Product1",0,outport,1,"sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/sum1",-1,inport,2,pc
"sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/sum1",-1,outport,1,"wbase","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/wbase",-1,inport,1,pc
"sum1","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/sum1",0,outport,1,"wbase","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/wbase",-1,inport,1,pc
"wbase","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/wbase",-1,outport,1,"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",-1,inport,1,pc
"Integrator","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/Integrator",0,outport,1,"phi","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phi/phi",-1,inport,1,pc
"Product3","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Product3",0,outport,1,"Iqd_SR","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Iqd_SR",-1,inport,1,pc
"Electromagnetic
Torque","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Electromagnetic
Torque",0,outport,1,"Te","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Te",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",0,outport,1,"phis_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phis_qd",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Demux",1,outport,2,"phir_qd","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/phir_qd",-1,inport,1,pc
"Switch2","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Switch2",0,outport,1,"Lm","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model/Lm",-1,inport,1,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",0,outport,1,"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",-1,outport,1,"dq to abc
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/dq to abc
transformation",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",-1,outport,1,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,2,pc
"v","untitled1/Asynchronous Machine
SI Units/Electrical model/v",0,outport,1,"Gain Vr_Vs","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs",-1,inport,1,pc
"Gain Vr_Vs","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs",-1,outport,1,"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",-1,inport,1,pc
"dq to abc
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/dq to abc
transformation",0,outport,1,"Gain Vr_Vs1","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs1",-1,inport,1,pc
"Gain Vr_Vs1","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs1",-1,outport,1,"i","untitled1/Asynchronous Machine
SI Units/Electrical model/i",-1,inport,1,pc
"Ground","untitled1/Asynchronous Machine
SI Units/Electrical model/Ground",-1,outport,1,"-","untitled1/Asynchronous Machine
SI Units/Electrical model/-",-1,inport,1,pc
"dq to abc
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/dq to abc
transformation",1,outport,3,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,1,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",1,outport,2,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,2,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",3,outport,5,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,3,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",1,outport,2,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,4,pc
"dq to abc
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/dq to abc
transformation",2,outport,3,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,5,pc
"Demux","untitled1/Asynchronous Machine
SI Units/Electrical model/Demux",0,outport,2,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,6,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",2,outport,5,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,7,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",0,outport,2,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,8,pc
"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",4,outport,5,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,9,pc
"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,outport,1,"unit
conversion","untitled1/Asynchronous Machine
SI Units/Electrical model/unit
conversion",-1,inport,1,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",0,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Mux1",-1,inport,1,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",1,outport,2,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Mux1",-1,inport,2,pc
"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Mux1",-1,outport,1,"Asynchronous Machine
State-space model","untitled1/Asynchronous Machine
SI Units/Electrical model/Asynchronous Machine
State-space model",-1,inport,1,pc
"Gain Vr_Vs","untitled1/Asynchronous Machine
SI Units/Electrical model/Gain Vr_Vs",0,outport,1,"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",-1,inport,1,pc
"sin,cos","untitled1/Asynchronous Machine
SI Units/Electrical model/sin,cos",0,outport,1,"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",-1,inport,2,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",-1,outport,1,"Mux1","untitled1/Asynchronous Machine
SI Units/Electrical model/Mux1",-1,inport,1,pc
"abc to dq 
transformation","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation",-1,outport,1,"Machine
Measurements","untitled1/Asynchronous Machine
SI Units/Electrical model/Machine
Measurements",-1,inport,4,pc
"v","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/v",-1,outport,1,"transit","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/transit",-1,inport,1,pc
"sin,cos","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/sin,cos",-1,outport,1,"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,inport,2,pc
"transit","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/transit",0,outport,1,"1_Vb","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/1_Vb",-1,inport,1,pc
"1_Vb","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/1_Vb",-1,outport,1,"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,inport,1,pc
"Constant","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant",-1,outport,1,"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,outport,1,pc
"Constant1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant1",-1,outport,1,"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,outport,1,pc
"Constant2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant2",-1,outport,1,"Synchronous reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Synchronous reference frame",-1,outport,1,pc
"Constant3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant3",-1,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,1,pc
"Constant4","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant4",-1,outport,1,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,1,pc
"Constant3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant3",0,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,1,pc
"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",0,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,2,pc
"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",0,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,3,pc
"Synchronous reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Synchronous reference frame",0,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,4,pc
"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,outport,1,"vqr,vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/vqr,vdr",-1,inport,1,pc
"Constant4","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant4",0,outport,1,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,1,pc
"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",1,outport,2,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,2,pc
"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",1,outport,2,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,3,pc
"Synchronous reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Synchronous reference frame",1,outport,2,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,4,pc
"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,outport,1,"vqs,vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/vqs,vds",-1,inport,1,pc
"1_Vb","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/1_Vb",0,outport,1,"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,inport,1,pc
"sin,cos","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/sin,cos",0,outport,1,"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,inport,2,pc
"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,outport,1,"Synchronous reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Synchronous reference frame",-1,inport,1,pc
"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,outport,1,"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,inport,1,pc
"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",-1,outport,1,"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,inport,1,pc
"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",0,outport,1,"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,inport,1,pc
"Constant","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant",0,outport,1,"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,outport,1,pc
"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,2,pc
"Rotor reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame",-1,outport,2,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,2,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",-1,outport,1,"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vdr",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",-1,outport,1,"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vds",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",-1,outport,1,"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",-1,outport,1,"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr",-1,inport,1,pc
"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs",0,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",-1,inport,1,pc
"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vds",0,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",-1,inport,2,pc
"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",-1,outport,1,"vqs,vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs,vds",-1,inport,1,pc
"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr",0,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",-1,inport,1,pc
"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vdr",0,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",-1,inport,2,pc
"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",-1,outport,1,"vqr,vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr,vdr",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",0,outport,1,"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vdr",-1,inport,1,pc
"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vdr",-1,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",-1,inport,2,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",0,outport,1,"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vds",-1,inport,1,pc
"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vds",-1,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",-1,inport,2,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",0,outport,1,"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr",-1,inport,1,pc
"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr",-1,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/In1",0,outport,1,"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs",-1,inport,1,pc
"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs",-1,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",-1,inport,1,pc
"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux3",0,outport,1,"vqr,vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqr,vdr",-1,inport,1,pc
"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/Mux2",0,outport,1,"vqs,vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Rotor reference frame/vqs,vds",-1,inport,1,pc
"Mux","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Mux",0,inport,2,"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,inport,1,pc
"Constant1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Constant1",0,outport,1,"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,outport,1,pc
"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,outport,1,"Multiport
Switch","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch",-1,inport,3,pc
"Stationary reference frame","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame",-1,outport,2,"Multiport
Switch1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Multiport
Switch1",-1,inport,3,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",-1,outport,1,"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vdr",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",-1,outport,1,"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqs",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",-1,outport,1,"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vds",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",-1,outport,1,"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr",-1,inport,1,pc
"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqs",0,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux2",-1,inport,1,pc
"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vds",0,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux2",-1,inport,2,pc
"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux2",-1,outport,1,"vqs,vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqs,vds",-1,inport,1,pc
"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr",0,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",-1,inport,1,pc
"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vdr",0,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",-1,inport,2,pc
"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",-1,outport,1,"vqr,vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr,vdr",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",0,outport,1,"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vdr",-1,inport,1,pc
"vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vdr",-1,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",-1,inport,2,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",0,outport,1,"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vds",-1,inport,1,pc
"vds","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vds",-1,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux2",-1,inport,2,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",0,outport,1,"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr",-1,inport,1,pc
"vqr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr",-1,outport,1,"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",-1,inport,1,pc
"In1","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/In1",0,outport,1,"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqs",-1,inport,1,pc
"vqs","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqs",-1,outport,1,"Mux2","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux2",-1,inport,1,pc
"Mux3","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/Mux3",0,outport,1,"vqr,vdr","untitled1/Asynchronous Machine
SI Units/Electrical model/abc to dq 
transformation/Stationary reference frame/vqr,vdr",-1,inport,1,pc
